StimTrig,Event,LatStim,MidStim,Hemifield,TrialType,Timepoint
142,Learn,NonPred,Predictor,Right,Switch,FirstHalf
126,Search,Distractor,Target,Right,Rep,FirstHalf
103,Search,None,Target,None,Switch,FirstHalf
107,Search,None,Target,None,Rep,FirstHalf
126,Search,Distractor,Target,Right,Rep,FirstHalf
145,Learn,NonPred,Predictor,Left,Rep,FirstHalf
125,Search,Distractor,Target,Left,Rep,FirstHalf
115,Search,Target,Distractor,Left,Rep,FirstHalf
126,Search,Distractor,Target,Right,Rep,FirstHalf
126,Search,Distractor,Target,Right,Rep,FirstHalf
107,Search,None,Target,None,Rep,FirstHalf
107,Search,None,Target,None,Rep,FirstHalf
125,Search,Distractor,Target,Left,Rep,FirstHalf
141,Learn,NonPred,Predictor,Left,Switch,FirstHalf
146,Learn,NonPred,Predictor,Right,Rep,FirstHalf
105,Search,Target,None,Left,Rep,FirstHalf
146,Learn,NonPred,Predictor,Right,Rep,FirstHalf
126,Search,Distractor,Target,Right,Rep,FirstHalf
125,Search,Distractor,Target,Left,Rep,FirstHalf
141,Learn,NonPred,Predictor,Left,Switch,FirstHalf
145,Learn,NonPred,Predictor,Left,Rep,FirstHalf
141,Learn,NonPred,Predictor,Left,Switch,FirstHalf
141,Learn,NonPred,Predictor,Left,Switch,FirstHalf
146,Learn,NonPred,Predictor,Right,Rep,FirstHalf
146,Learn,NonPred,Predictor,Right,Rep,FirstHalf
146,Learn,NonPred,Predictor,Right,Rep,FirstHalf
125,Search,Distractor,Target,Left,Rep,FirstHalf
105,Search,Target,None,Left,Rep,FirstHalf
146,Learn,NonPred,Predictor,Right,Rep,FirstHalf
145,Learn,NonPred,Predictor,Left,Rep,FirstHalf
125,Search,Distractor,Target,Left,Rep,FirstHalf
107,Search,None,Target,None,Rep,FirstHalf
107,Search,None,Target,None,Rep,FirstHalf
116,Search,Target,Distractor,Right,Rep,FirstHalf
145,Learn,NonPred,Predictor,Left,Rep,FirstHalf
126,Search,Distractor,Target,Right,Rep,FirstHalf
107,Search,None,Target,None,Rep,FirstHalf
125,Search,Distractor,Target,Left,Rep,FirstHalf
145,Learn,NonPred,Predictor,Left,Rep,FirstHalf
126,Search,Distractor,Target,Right,Rep,FirstHalf
142,Learn,NonPred,Predictor,Right,Switch,FirstHalf
126,Search,Distractor,Target,Right,Rep,FirstHalf
125,Search,Distractor,Target,Left,Rep,FirstHalf
146,Learn,NonPred,Predictor,Right,Rep,FirstHalf
107,Search,None,Target,None,Rep,FirstHalf
126,Search,Distractor,Target,Right,Rep,FirstHalf
126,Search,Distractor,Target,Right,Rep,FirstHalf
125,Search,Distractor,Target,Left,Rep,FirstHalf
125,Search,Distractor,Target,Left,Rep,FirstHalf
126,Search,Distractor,Target,Right,Rep,FirstHalf
107,Search,None,Target,None,Rep,FirstHalf
132,Learn,Predictor,NonPred,Right,Switch,FirstHalf
146,Learn,NonPred,Predictor,Right,Rep,FirstHalf
145,Learn,NonPred,Predictor,Left,Rep,FirstHalf
101,Search,Target,None,Left,Switch,FirstHalf
107,Search,None,Target,None,Rep,FirstHalf
126,Search,Distractor,Target,Right,Rep,FirstHalf
125,Search,Distractor,Target,Left,Rep,FirstHalf
